Fecha,Total Viajeros,Viajeros Residentes en España,Viajeros Residentes en el Extranjero,Total Pernoctaciones,Pernoctaciones Residentes en España,Pernoctaciones Residentes en el Extranjero,Días de estancia media,Número de establecimientos abiertos estimados,Número de plazas estimadas,Grado de ocupación por plazas,Personal empleado,Ingresos por habitación disponible (RevPAR),Evolución interanual Viajeros,Evolución interanual Viajeros Españoles,Evolución interanual Viajeros Extranjeros,Variación Anual IPC Servicios de Alojamiento
2024-10-01,602997,164584,438413,2190159,356124,1834036,3.63,661,102380,67.55,17879,101.25,-3.27%,-14.43%,1.71%,7.7
2024-09-01,615246,186785,428461,2336342,480451,1855891,3.8,683,106813,71.39,19431,149.48,-3.36%,-9.27%,-0.53%,9.1
2024-08-01,696239,288197,408043,2766195,931876,1834319,3.97,670,105652,79.53,19649,163.45,-3.27%,-7.19%,-0.29%,3.6
2024-07-01,648908,255924,392984,2508185,744573,1763613,3.87,671,105253,73.12,18824,137.09,-5.91%,-15.69%,1.78%,2.8
2024-06-01,635270,234652,400618,2242155,539943,1702212,3.53,658,103750,69.55,17980,114.56,2.63%,-4.99%,7.70%,5.0
2024-05-01,662252,199347,462905,2258507,435035,1823471,3.41,666,102068,69.66,17749,106.29,5.98%,8.88%,4.77%,5.7
2024-04-01,605359,182734,422625,1967867,392049,1575818,3.25,667,99493,64.67,15997,84.86,0.62%,-13.70%,8.40%,5.5
2024-03-01,512816,210249,302567,1722181,492825,1229356,3.36,638,94712,57.97,14397,71.75,10.59%,5.02%,14.82%,10.1
2024-02-01,371372,159104,212267,1173393,330766,842627,3.16,556,74866,53.5,11492,57.64,18.50%,5.17%,30.93%,9.6
2024-01-01,283501,109848,173654,845227,201362,643864,2.98,500,61776,43.8,9919,50.09,7.13%,-6.18%,17.69%,5.3
2023-12-01,326979,152494,174485,958292,314414,643877,2.93,535,68248,44.85,10970,57.52,15.04%,1.39%,30.39%,6.2
2023-11-01,375945,147878,228067,1212692,312518,900175,3.23,575,76869,52.18,12079,64.06,23.50%,2.40%,42.54%,7.9
2023-10-01,626954,192948,434007,2184382,418349,1766033,3.48,686,103248,66.76,17411,96.1,16.15%,5.28%,21.74%,9.3
2023-09-01,639846,205989,433856,2312615,511431,1801184,3.61,703,106006,71.03,18718,114.77,3.17%,-8.41%,9.75%,9.0
2023-08-01,719415,306957,412458,2782987,935815,1847172,3.87,715,106569,79.35,19325,155.54,8.13%,-4.64%,20.10%,5.8
2023-07-01,693528,307459,386068,2580880,837445,1743435,3.72,693,105804,74.9,18803,136.08,1.05%,-8.22%,9.89%,7.0
2023-06-01,587899,218532,369367,2192655,552610,1640045,3.73,704,104561,67.58,18007,108.78,-3.81%,-15.53%,4.78%,7.0
2023-05-01,613658,180022,433636,2101341,396202,1705139,3.42,699,100134,66.61,17251,93.75,3.90%,-16.78%,15.84%,13.4
2023-04-01,590876,211032,379844,1911674,497586,1414088,3.24,628,93419,66.75,15233,88.38,9.10%,-5.83%,19.64%,8.1
2023-03-01,459338,200271,259067,1370903,432300,938602,2.98,639,81760,53.75,12499,64.96,27.31%,19.34%,34.24%,12.1
2023-02-01,317641,153124,164517,942910,309195,633716,2.97,527,66541,50.13,9624,51.68,10.41%,-6.39%,32.55%,12.0
2023-01-01,265918,115875,150043,769113,233545,535569,2.89,505,58026,42.52,8669,43.95,47.00%,30.27%,63.18%,7.2
2022-12-01,281166,147039,134127,781725,324377,457348,2.78,469,57875,43.2,9153,52.75,20.31%,4.03%,45.23%,5.5
2022-11-01,301269,143297,157973,941964,311871,630093,3.13,484,65604,47.57,11136,52.64,8.10%,5.62%,10.45%,13.0
2022-10-01,537555,184253,353303,1910205,411184,1499021,3.55,588,94162,64.21,16141,81.13,18.13%,-1.33%,31.67%,12.9
2022-09-01,620194,224895,395299,2155199,572890,1582309,3.48,643,102048,69.15,17915,105.29,30.06%,-7.15%,68.47%,11.9
2022-08-01,665325,321902,343423,2672820,1054152,1618668,4.02,645,102334,78.86,18897,147.71,6.99%,-20.26%,57.43%,9.7
2022-07-01,686330,334995,351335,2529662,954203,1575458,3.69,640,102002,75.99,18404,128.77,23.97%,-11.04%,98.39%,13.0
2022-06-01,611199,258698,352500,2161308,623015,1538293,3.54,623,100324,69.42,17349,100.93,77.47%,2.13%,286.95%,23.5
2022-05-01,590649,216312,374336,2025618,511654,1513964,3.43,599,98995,64.79,16449,83.54,231.75%,75.09%,586.87%,27.6
2022-04-01,541596,224104,317492,1815329,565287,1250042,3.35,587,94453,62.28,14506,75.0,577.65%,307.07%,1176.66%,34.8
2022-03-01,360805,167811,192994,1153222,403973,749249,3.2,516,77472,47.6,10971,50.37,416.93%,215.89%,1057.39%,17.7
2022-02-01,287697,163580,124117,783064,341683,441381,2.73,444,62608,44.13,8225,43.28,585.07%,405.58%,1187.52%,12.0
2022-01-01,180901,88951,91950,487481,173183,314297,2.7,391,54265,28.93,7207,28.67,292.32%,156.38%,705.45%,9.4
2021-12-01,233692,141339,92352,589381,286390,302991,2.52,405,53030,35.57,7806,40.54,392.67%,319.34%,572.68%,20.1
2021-11-01,278701,135672,143029,817237,280781,536456,2.93,428,63539,42.66,9710,47.39,604.70%,385.43%,1133.01%,11.4
2021-10-01,455056,186737,268318,1577397,456639,1120758,3.47,498,87584,57.18,13791,70.97,318.98%,146.78%,714.49%,10.0
2021-09-01,476861,242224,234637,1760005,719507,1040499,3.69,520,97126,59.29,15034,82.02,198.74%,112.64%,413.33%,13.1
2021-08-01,621842,403705,218137,2366398,1397762,968636,3.81,525,97547,74.63,16098,124.77,76.79%,57.68%,127.93%,12.2
2021-07-01,553645,376551,177094,1872973,1183421,689553,3.38,475,96022,60.81,14516,84.71,118.50%,121.26%,112.84%,10.6
2021-06-01,344395,253298,91097,919680,611557,308123,2.67,440,75881,39.75,10897,47.83,806.88%,651.72%,2028.43%,-7.5
2021-05-01,178043,123544,54499,391295,230501,160794,2.2,351,39007,32.17,5246,38.47,,,,-13.5
2021-04-01,79923,55053,24869,158526,90230,68297,1.98,302,27813,18.93,3060,28.39,,,,-11.5
2021-03-01,69798,53123,16675,130474,86531,43943,1.87,297,27919,15.05,2652,17.4,-60.34%,-29.47%,-83.43%,-9.8
2021-02-01,41995,32355,9640,77619,52443,25176,1.85,237,24099,11.49,1889,11.29,-88.89%,-82.12%,-95.11%,-7.9
2021-01-01,46111,34695,11416,90610,59745,30865,1.97,225,25823,11.31,2471,10.46,-84.18%,-70.84%,-93.38%,0.1
2020-12-01,47434,33705,13729,84974,56225,28749,1.79,212,25777,10.62,2389,,-83.90%,-76.69%,-90.85%,-4.8
2020-11-01,39549,27949,11600,79773,51578,28195,2.02,257,28142,9.44,2898,,-87.95%,-80.26%,-93.79%,-6.2
2020-10-01,108611,75669,32943,235045,144671,90375,2.16,366,40087,18.8,4193,,-79.76%,-52.38%,-91.28%,-6.3
2020-09-01,159624,113915,45709,428838,283577,145262,2.69,436,62506,22.55,7387,,-73.81%,-39.31%,-89.16%,-10.9
2020-08-01,351738,256034,95705,1106360,742823,363537,3.15,474,77276,44.51,9816,,-48.43%,-19.07%,-73.83%,-4.0
2020-07-01,253388,170182,83206,728467,433502,294965,2.87,435,69275,33.28,8421,,-60.90%,-38.89%,-77.48%,-3.1
2020-06-01,37976,33696,4280,71841,63144,8697,1.89,144,16769,14.18,1654,,-93.81%,-84.65%,-98.91%,5.1
2020-05-01,0,0,0,0,0,0,0.0,0,0,0.0,0,,-100.00%,-100.00%,-100.00%,-0.5
2020-04-01,0,0,0,0,0,0,0.0,0,0,0.0,0,,-100.00%,-100.00%,-100.00%,-0.3
2020-03-01,175972,75319,100653,606040,187781,418259,3.44,373,59890,32.57,7526,,-57.51%,-55.00%,-59.22%,0.6
2020-02-01,377960,180952,197008,1146360,393482,752878,3.03,459,73221,53.6,10382,,20.69%,25.11%,16.89%,4.3
2020-01-01,291494,118980,172514,870774,241129,629646,2.99,429,61780,45.28,9440,,15.57%,17.15%,14.51%,2.5
2019-12-01,294612,144623,149989,836158,309464,526694,2.84,448,59649,44.92,9305,,12.54%,17.46%,8.16%,0.0
2019-11-01,328244,141564,186681,1028176,302882,725294,3.13,511,68704,49.7,10850,,12.64%,18.08%,8.83%,2.6
2019-10-01,536722,158911,377811,1962760,349271,1613489,3.66,580,98354,63.35,16153,,5.14%,8.16%,3.92%,-0.5
2019-09-01,609398,187689,421709,2231850,512241,1719609,3.66,622,101645,72.08,17826,,6.86%,18.14%,2.51%,1.1
2019-08-01,682101,316349,365752,2730223,1095971,1634252,4.0,617,101757,81.8,18921,,7.63%,11.08%,4.81%,0.8
2019-07-01,647994,278502,369492,2501651,857409,1644242,3.86,608,101143,76.0,18210,,7.18%,16.91%,0.86%,-0.3
2019-06-01,613455,219471,393984,2169935,521363,1648572,3.54,597,99342,70.6,17034,,5.19%,14.88%,0.47%,2.1
2019-05-01,589935,184529,405405,1986844,412277,1574567,3.37,595,97832,64.47,15763,,5.24%,17.16%,0.58%,5.1
2019-04-01,539316,182074,357242,1792826,482522,1310304,3.32,577,93619,62.46,14296,,6.20%,10.75%,4.02%,4.1
2019-03-01,414188,167362,246826,1380072,434823,945249,3.33,524,81450,54.28,11888,,1.94%,-1.60%,4.48%,0.5
2019-02-01,313178,144639,168539,954430,306169,648260,3.05,475,70326,48.0,9943,,7.90%,9.58%,6.49%,-0.3
2019-01-01,252215,101564,150651,798745,234413,564332,3.17,427,57778,44.39,8629,,3.80%,2.95%,4.38%,0.4
2018-12-01,261792,123124,138668,776963,285943,491020,2.97,415,56612,43.98,8499,,-2.44%,-7.07%,2.07%,1.6
2018-11-01,291418,119888,171529,967359,257982,709377,3.32,470,64861,49.46,9945,,0.01%,-2.00%,1.46%,2.9
2018-10-01,510488,146921,363567,1901829,350723,1551106,3.73,585,97699,61.78,15071,,-3.58%,-7.58%,-1.87%,6.6
2018-09-01,570254,158873,411381,2163227,422828,1740399,3.79,622,100369,70.61,16689,,-1.15%,-3.32%,-0.29%,4.4
2018-08-01,633747,284784,348963,2613242,1006369,1606874,4.12,622,100397,78.75,17445,,2.90%,14.96%,-5.22%,1.2
2018-07-01,604564,238218,366346,2434957,756131,1678826,4.03,614,99438,74.8,16981,,0.69%,2.41%,-0.40%,2.7
2018-06-01,583174,191045,392129,2143372,450927,1692444,3.68,617,98392,70.87,16273,,1.78%,2.59%,1.38%,2.0
2018-05-01,560577,157499,403078,1976864,355660,1621204,3.53,617,97818,64.02,15468,,1.25%,0.48%,1.55%,1.6
2018-04-01,507835,164400,343435,1717154,423034,1294120,3.38,600,94874,59.56,13791,,-5.00%,-14.03%,0.04%,-0.4
2018-03-01,406317,170075,236241,1419426,432625,986801,3.49,546,83504,54.39,11864,,12.19%,24.53%,4.73%,6.7
2018-02-01,290259,131998,158261,929302,279108,650194,3.2,432,67693,48.78,9346,,3.20%,7.37%,-0.05%,5.6
2018-01-01,242989,98656,144332,787257,222341,564916,3.24,410,58029,43.57,7939,,8.89%,9.24%,8.65%,3.3
2017-12-01,268346,132491,135854,778632,304007,474625,2.9,455,57169,43.65,8416,,11.92%,9.40%,14.48%,2.8
2017-11-01,291393,122339,169054,969598,266323,703276,3.33,486,63523,50.66,9842,,7.43%,12.43%,4.08%,3.6
2017-10-01,529461,158966,370495,1994345,368102,1626243,3.77,601,95571,66.36,14980,,1.85%,-4.76%,4.98%,3.3
2017-09-01,576893,164335,412558,2213173,428440,1784732,3.84,636,98756,73.54,16566,,1.84%,-3.97%,4.35%,5.2
2017-08-01,615915,247717,368198,2606782,837983,1768799,4.23,619,98718,80.09,17305,,-1.13%,-9.62%,5.54%,5.1
2017-07-01,600442,232613,367828,2476361,707649,1768712,4.12,614,98662,76.58,16607,,-0.07%,-4.50%,2.95%,4.4
2017-06-01,572988,186214,386774,2162259,429937,1732322,3.77,601,97707,71.74,16021,,3.42%,-8.12%,10.08%,7.2
2017-05-01,553665,156748,396917,1954812,356038,1598774,3.53,615,97059,64.23,14874,,1.83%,-6.10%,5.35%,8.1
2017-04-01,534549,191239,343311,1847771,516751,1331019,3.46,598,93232,64.84,13691,,11.99%,18.76%,8.54%,10.2
2017-03-01,362153,136572,225581,1281601,362027,919573,3.54,545,77342,53.21,10612,,-2.44%,-14.42%,6.59%,-0.3
2017-02-01,281267,122933,158333,919408,277793,641615,3.27,453,65871,49.55,8822,,0.02%,-13.11%,13.32%,5.4
2017-01-01,223154,90312,132842,737402,198720,538682,3.3,436,56513,41.9,7469,,2.42%,-9.16%,12.14%,5.0
2016-12-01,239770,121105,118666,766817,304571,462246,3.2,427,55912,43.94,7977,,-2.88%,-6.75%,1.42%,7.9
2016-11-01,271234,108809,162425,989824,287113,702711,3.65,480,62215,52.63,9098,,3.46%,-7.27%,12.16%,4.8
2016-10-01,519822,166917,352905,2021754,427310,1594444,3.89,624,95148,67.41,13945,,8.56%,5.80%,9.91%,4.9
2016-09-01,566483,171131,395352,2224283,481887,1742396,3.93,646,98897,73.44,15352,,2.71%,-9.42%,9.03%,4.1
2016-08-01,622950,274083,348867,2705090,956516,1748574,4.34,647,99255,81.52,16333,,-1.17%,-9.13%,6.14%,-5.8
2016-07-01,600871,243573,357298,2500303,763522,1736782,4.16,643,98316,77.23,15758,,5.49%,-9.99%,19.49%,-1.4
2016-06-01,554043,202678,351365,2119188,497136,1622052,3.82,643,98492,69.05,14851,,3.18%,-8.67%,11.52%,0.1
2016-05-01,543691,166936,376755,1956480,398288,1558193,3.6,630,97678,63.39,13871,,4.59%,-3.44%,8.59%,2.3
2016-04-01,477334,161027,316307,1648636,402988,1245647,3.45,623,92669,58.49,12582,,9.81%,-2.80%,17.57%,2.6
2016-03-01,371217,159575,211642,1361205,463382,897823,3.67,567,79496,54.63,10752,,18.83%,13.84%,22.88%,16.0
2016-02-01,281208,141480,139728,963227,350860,612367,3.43,466,65786,50.22,8580,,9.90%,8.31%,11.55%,10.4
2016-01-01,217875,99419,118456,770149,256851,513298,3.53,434,57483,42.97,7682,,9.18%,6.96%,11.11%,7.5
2015-12-01,246875,129868,117007,751596,308025,443571,3.04,452,55988,43.08,8015,,8.15%,5.75%,10.94%,3.6
2015-11-01,262157,117338,144819,871903,232403,639499,3.33,486,61303,47.06,8628,,10.48%,5.24%,15.13%,4.1
2015-10-01,478852,157760,321093,1852463,384242,1468222,3.87,603,93349,63.04,12994,,6.47%,-0.41%,10.21%,5.6
2015-09-01,551552,188930,362623,2137434,517010,1620425,3.88,642,97012,72.38,14566,,3.98%,-4.26%,8.86%,3.8
2015-08-01,630300,301614,328686,2640376,1059825,1580552,4.19,637,97290,81.45,15259,,1.90%,-7.91%,12.93%,3.3
2015-07-01,569619,270610,299009,2393200,870030,1523169,4.2,632,97111,75.15,14649,,6.83%,-0.55%,14.51%,4.4
2015-06-01,536989,221914,315075,2013310,568920,1444390,3.75,616,95505,68.16,13968,,6.26%,0.76%,10.50%,7.3
2015-05-01,519820,172877,346943,1821429,403079,1418351,3.5,609,94182,61.5,12903,,6.68%,-2.47%,11.91%,4.3
2015-04-01,434689,165661,269028,1541329,483151,1058178,3.55,597,89824,56.45,11613,,-5.14%,-4.57%,-5.48%,1.6
2015-03-01,312404,140173,172231,1146083,432498,713585,3.67,538,74588,49.24,9301,,10.54%,22.96%,2.14%,2.9
2015-02-01,255885,130628,125257,855428,327093,528335,3.34,489,64709,46.96,7997,,3.86%,2.78%,5.01%,4.0
2015-01-01,199556,92946,106610,703591,249467,454124,3.53,434,57735,39.17,7403,,10.07%,14.96%,6.14%,1.9
2014-12-01,228274,122805,105469,693423,280412,413011,3.04,469,59225,37.61,7668,,10.32%,10.10%,10.57%,1.6
2014-11-01,237281,111498,125783,817001,285184,531817,3.44,505,63391,42.76,8236,,1.59%,5.87%,-1.92%,1.4
2014-10-01,449754,158416,291338,1714350,408076,1306274,3.81,604,90483,60.44,12435,,9.12%,15.32%,6.02%,4.2
2014-09-01,530441,197346,333096,2079231,594120,1485111,3.92,633,96556,70.6,14227,,6.14%,1.80%,8.89%,4.5
2014-08-01,618559,327506,291054,2622729,1186093,1436636,4.24,633,97574,81.28,15020,,2.98%,1.54%,4.65%,2.0
2014-07-01,533212,272100,261113,2269242,926228,1343014,4.26,633,97483,71.3,14554,,1.83%,5.52%,-1.74%,2.3
2014-06-01,505375,220238,285136,1949214,608949,1340265,3.86,638,96784,65.48,13620,,2.57%,6.00%,0.06%,3.4
2014-05-01,487291,177259,310032,1751782,463241,1288540,3.59,628,94422,59.26,12825,,-2.75%,4.09%,-6.27%,5.3
2014-04-01,458226,173599,284627,1563183,488803,1074381,3.41,608,89105,57.81,11556,,13.74%,18.41%,11.07%,7.2
2014-03-01,282613,113997,168616,1057475,320728,736746,3.74,530,71244,47.73,8733,,-14.16%,-23.84%,-6.09%,-2.5
2014-02-01,246372,127096,119276,861984,324867,537116,3.5,504,65886,46.53,7961,,18.39%,25.21%,11.89%,-1.9
2014-01-01,181294,80852,100442,681592,222865,458726,3.76,467,57168,38.37,6875,,9.87%,4.61%,14.51%,-4.2
2013-12-01,206928,111537,95390,595366,245528,349838,2.88,462,55275,34.61,7137,,17.55%,21.34%,13.40%,0.4
2013-11-01,233565,105315,128249,752578,245967,506611,3.22,485,59529,41.97,7888,,13.43%,11.23%,15.30%,0.4
2013-10-01,412177,137373,274804,1611117,330705,1280412,3.91,576,87821,58.57,11823,,5.42%,-0.70%,8.77%,-1.0
2013-09-01,499760,193855,305905,2001469,556774,1444695,4.0,611,95851,68.73,13734,,5.20%,6.27%,4.53%,-2.8
2013-08-01,600652,322535,278117,2564360,1198014,1366346,4.27,613,96337,80.97,14733,,7.38%,5.47%,9.69%,0.9
2013-07-01,523604,257871,265733,2227470,865157,1362313,4.25,604,95896,71.33,13944,,3.02%,4.26%,1.85%,0.4
2013-06-01,492722,207763,284960,1906305,554343,1351962,3.87,600,94490,65.4,13199,,3.10%,-4.71%,9.65%,0.0
2013-05-01,501082,170295,330787,1728498,400733,1327765,3.45,597,93535,58.94,12194,,16.71%,21.50%,14.39%,-0.9
2013-04-01,402860,146608,256252,1342048,380924,961123,3.33,569,88297,50.34,10855,,1.10%,-9.20%,8.11%,-7.7
2013-03-01,329245,149688,179557,1129574,411966,717608,3.43,528,73044,49.53,9109,,12.86%,21.56%,6.50%,0.0
2013-02-01,208103,101504,106599,742181,267869,474312,3.57,468,61435,43.0,7562,,-9.77%,-20.46%,3.48%,-4.0
2013-01-01,165005,77288,87716,571534,193879,377655,3.46,436,55331,33.24,6711,,-8.06%,-12.38%,-3.88%,-0.8
2012-12-01,176033,91918,84115,533778,224091,309686,3.03,444,54276,31.65,6968,,-7.37%,-13.12%,-0.15%,-1.2
2012-11-01,205914,94682,111232,668962,214543,454419,3.25,481,59316,37.43,7774,,-7.35%,-11.12%,-3.88%,1.7
2012-10-01,390987,138348,252639,1462455,330955,1131500,3.74,588,84983,55.06,11796,,-2.94%,-13.31%,3.86%,0.2
2012-09-01,475062,182410,292652,1817735,528635,1289100,3.83,615,91012,65.65,13974,,0.99%,-5.97%,5.89%,1.9
2012-08-01,559345,305796,253550,2309293,1088507,1220787,4.13,619,92364,76.8,14740,,4.73%,-1.29%,13.05%,0.2
2012-07-01,508244,247327,260917,2135268,834177,1301092,4.2,629,92758,71.18,14260,,-2.52%,-8.71%,4.18%,0.7
2012-06-01,477915,218036,259878,1784782,528723,1256059,3.73,619,91365,63.85,13251,,1.86%,-1.82%,5.17%,1.6
